NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra,
PE114,PERNO COMPLETO 5/16 PulgadasX3 Pulgadas GR-5,324,UNIDAD,PERNERIA,16/02/2025,5.55,COR,
PE115,PERNO COMPLETO 5/16 PulgadasX2-1/2 Pulgadas GR-5,556,UNIDAD,PERNERIA,16/02/2025,6.434,COR,
PE118,PERNO COMPLETO 5/8 Pulgadasx3-1/2 Pulgadas GR-8,210,UNIDAD,PERNERIA,16/02/2025,70.6,COR,
PE119,PERNO COMPLETO 5/8 Pulgadasx4 Pulgadas GR-8,145,UNIDAD,PERNERIA,16/02/2025,95.771,COR,
PE120,PERNO COMPLETO 7/8 PulgadasX4 Pulgadas GR-8,277,UNIDAD,PERNERIA,16/02/2025,141.148,COR,
PE132,PERNO HEX. 1/4 PulgadasX3/4 Pulgadas GR-8,80,UNIDAD,PERNERIA,29/05/2025,3.757,COR,
PE133,TUERCA HEX. 1/4 GR-8,130,UNIDAD,PERNERIA,16/07/2025,1.337,COR,
PE134,PERNO COMPLETO 1/4 PulgadasX1 Pulgadas GR-5,280,UNIDAD,PERNERIA,09/07/2025,4.571,COR,
PE135,PERNO HEX 1/4 PulgadasX1 Pulgadas GR-8,50,UNIDAD,PERNERIA,16/07/2025,3.989,COR,
PE137,PERNO HEX. 3/4 PulgadasX7 Pulgadas GR-8,12,UNIDAD,PERNERIA,29/08/2025,186.25,COR,
PE138,PERNO HEX. 5/16 PulgadasX1-1/2 Pulgadas TODO HILO,50,UNIDAD,PERNERIA,05/09/2025,17.403,COR,
PE139,PERNO HEX. 5/16 PulgadasX2 Pulgadas TODO HILO,50,UNIDAD,PERNERIA,05/09/2025,21.292,COR,
PG013,CHUSPISOL 10 WG 250 DR,37,UNIDAD,PLAGUICIDAS,18/07/2025,"1,208.03",COR,
PG018,BRALIC 12.5 EC (1L),22,UNIDAD,PLAGUICIDAS,03/09/2025,"1,311.00",COR,
PG024,VERTROL 10-3 FW (1LT),3,UNIDAD,PLAGUICIDAS,10/01/2025,"1,895.30",COR,
PG025,BRIDO 20 SC 1LT,3,UNIDAD,PLAGUICIDAS,10/01/2025,"1,811.07",COR,
PG028,AG AGRIOIL 20LT,5,UNIDAD,PLAGUICIDAS,07/05/2025,"3,714.50",COR,
PG029,OMITOX 3GB (0.50 KLS),10,UNIDAD,PLAGUICIDAS,15/01/2025,250.65,COR,
PG035,RODENTICIDA RAT KILL BLOQUE (7.3KG),2,CUBETA,PLAGUICIDAS,10/01/2025,"5,054.16",COR,
PG037,BIOCIPER 25EW,25,LITROS,PLAGUICIDAS,09/05/2025,878.98,COR,
PG038,ACEITE ORCHEX 796 (20LT),10,UNIDAD,PLAGUICIDAS,23/07/2025,"3,230.00",COR,
PG039,CIPERMETRINA 25EC,24,LITROS,PLAGUICIDAS,31/07/2025,345,COR,
PI001,SELLATER 60 IMPERMIABILIZANTE ELASTOMERICO SILICONADO,10,GALON,PINTURA Y ACCESORIOS,09/06/2022,650,COR,
PI004,PINTURA BLANCA DE ACEITE,1,CUBETA,PINTURA Y ACCESORIOS,25/08/2025,"2,450.00",COR,CUBETA
PI005,PINTURA FASTYL ROJO OXIDO,2,GALON,PINTURA Y ACCESORIOS,14/05/2025,"1,100.34",COR,
PI008,PINTURA SUR FASTYL BLANCO,1,GALON,PINTURA Y ACCESORIOS,15/11/2024,970.89,COR,
PI015,PINTURA FAST DRY AMARILLO CAT.,21,GALON,PINTURA Y ACCESORIOS,06/06/2025,"1,420.96",COR,
PI016,PINTURA ESMALTE 100 BLANCO,1,CUBETA,PINTURA Y ACCESORIOS,21/03/2025,"5,200.00",COR,
PI018,PINTURA SPEEDTEC AMARILLO CAT,6,CUBETA,PINTURA Y ACCESORIOS,29/05/2025,"5,200.00",COR,
PI020,PINTURA SPEEDTEC FAST DRY ENAMEL NEGRO,18,GALON,PINTURA Y ACCESORIOS,10/10/2025,659.23,COR,
PI036,PINTURA FAST DRY BLANCO,5,GALON,PINTURA Y ACCESORIOS,10/10/2025,659.23,COR,
PI038,PINTURA FAST DRY NEGRO,1,CUBETA,PINTURA Y ACCESORIOS,13/08/2025,"4,715.41",COR,
PI041,PINTURA SPEEDTEC GRIS PERLA,42,GALON,PINTURA Y ACCESORIOS,10/10/2025,659.23,COR,
PI051,PINTURA FAST DRY AZUL,9,CUBETA,PINTURA Y ACCESORIOS,10/09/2025,"12,420.00",COR,
PI052,PINTURA FAST DRY VERDE JHON DEERE,5,CUBETA,PINTURA Y ACCESORIOS,29/05/2025,"5,200.00",COR,
PI057,GELCOAT BLANCO,2,GALON,PINTURA Y ACCESORIOS,29/05/2025,"1,095.87",COR,
PI058,DILUYENTE PARA PINTURA DE ALTA TEMPERATURA,19,CUARTO,PINTURA Y ACCESORIOS,20/08/2025,328.068,COR,
PI059,PINTURA ALUMINIO PARA ALTA TEMPERATURA,19,GALON,PINTURA Y ACCESORIOS,20/08/2025,"2,879.52",COR,
PI063,PINTURA FAST DRY ROJO ANTICORROSIVO,2,CUBETA,PINTURA Y ACCESORIOS,13/08/2025,"3,296.15",COR,
PK-FI-10,FILTER LEAVE (NYB30) P/N 10 N°1-15,15,UNIDAD,REPUESTOS,12/10/2023,"42,249.47",COR,
PK-P1-01,FEED WORM HARD FACED EK200K P/N 1-1,14,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"22,799.95",COR,
PK-P1-02,INTERMEDIATE WORM HARD FACED EK200K P/N 1-2,17,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"16,308.85",COR,
PK-P1-03,TAPER COLLAR HARD FACED EK200K P/N 1-3/2-3,22,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,"2,771.55",COR,
PK-P1-05,TAPER COLLAR HARD FACED EK200K P/N 1-5,29,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"3,500.14",COR,
PK-P1-06,HIGH PRESSURE WORM HARD FACED EK200K P/N 1-6,21,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"11,428.26",COR,
PK-P1-07,STRAIGHT HARD FACED EK200K P/N 1-7,18,UNIDAD,REPUESTOS,12/10/2023,"4,323.59",COR,
PK-P1-08,HIGH PRESSURE WORM HARD FACED EK200K P/N 1-8,4,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"11,428.26",COR,
PK-P1-4,HIGH PRESSURE WORM (HARD FACED)  P/N 1-4/2-4,1,UNIDAD,REPUESTOS,24/08/2022,"13,939.24",COR,
PK-P2-01,FEED WORM HARD FACED EK200K P/N 2-1,4,UNIDAD,REPUESTOS MUAR BAN L,18/06/2021,"21,315.96",COR,
PK-P2-02,INTERMEDIATE WORM HARD FACED EK200K P/N 2-2,2,UNIDAD,REPUESTOS MUAR BAN L,19/03/2024,"15,586.92",COR,
PK-P2-03,TAPER COLLAR HARD FACED EK200K P/N 2-3,2,UNIDAD,REPUESTOS MUAR BAN L,18/06/2021,"3,058.05",COR,
PK-P2-04,HIGH PRESSURE WORM HARD FACED EK200K P/N 2-4,11,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"14,679.47",COR,
PK-P2-07,TAPER COLLAR HARD FACED EK200K P/N 2-7,5,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"4,518.50",COR,
PK-P2-08,HIGH PRESSURE WORM HARD FACED EK200K P/N 2-8,2,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"11,409.40",COR,
PK-P2-5,TAPER HEAD P/N  5-2,10,UNIDAD,REPUESTOS,04/11/2024,"10,900.22",COR,
PK-PR-04,MAIN SHAFT EK200K P/N 4,2,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,"70,644.86",COR,
PK-PR-05,TAPER HEAD EK200K P/N 5-1,14,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"10,900.22",COR,
PK-PR-06,TAPER HEAD KEY EK200K P/N 6,44,UNIDAD,REPUESTOS MUAR BAN L,24/08/2022,111.03,COR,
PK-PR-07,ADJUSTING NUT EK200K P/N 7,4,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,"3,855.76",COR,
PK-PR-08,MAIN SHAFT KEY EK200K P/N 8,35,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,776.97,COR,
PK-PR-1,FEED CAGE EK200K P/N 1,1,SET,REPUESTOS MUAR BAN L,12/10/2023,"18,860.68",COR,
PK-PR-10,DRIVE KEY EK200K P/N 10,22,UNIDAD,REPUESTOS MUAR BAN L,12/10/2023,700.15,COR,
PK-PR-18,WEAR PLATE (EK-200-K)P/N 18,1,PIEZA,REPUESTOS,24/08/2022,"6,464.63",COR,
PK-PR-19,OIL SEAL 120 X 140 EK200K P/N 19,88,UNIDAD,REPUESTOS MUAR BAN L,07/03/2025,439.01,COR,
PK-PR-2,BODY CAGE EK200K P/N 2,13,SET,REPUESTOS MUAR BAN L,04/11/2024,"29,174.13",COR,
PK-PR-20,SPEHERICAL ROLLER BEARING 22324 EK200K P/N 20,20,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,"6,691.69",COR,
PK-PR-21,COVER EK200K P/N 21,16,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,"1,953.21",COR,
PK-PR-22,THRUST COLLAR EK200K P/N 22,10,UNIDAD,REPUESTOS MUAR BAN L,25/02/2022,"3,799.92",COR,
PK-PR-22A,STOPPER COLLAR EK200K P/N 22A,16,UNIDAD,REPUESTOS MUAR BAN L,25/02/2022,"3,762.28",COR,
PK-PR-23A,CAST IRON BEARING BUSH EK200K P/N 23A,16,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,"1,577.64",COR,
PK-PR-24,THRUST PLATE EK200K P/N 24,16,UNIDAD,REPUESTOS MUAR BAN L,25/02/2022,"3,910.23",COR,
PK-PR-24A,BOLT EK200K P/N24A,69,UNIDAD,REPUESTOS MUAR BAN L,18/06/2021,29.876,COR,
PK-PR-26,SPEHERICAL ROLLER BEARING 22322 EK200K P/N 26,36,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,"5,766.59",COR,
PK-PR-27,COVER EK200K P/N 27,23,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"5,023.91",COR,
PK-PR-27A,OIL SEAL 110 X 130 EK200K P/N 27A,49,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,385.962,COR,
PK-PR-27B,BOLT EK200K P/N 27B,75,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,17.53,COR,
PK-PR-29,STAY PIPE SHORT EK200K P/N 29,16,UNIDAD,REPUESTOS MUAR BAN L,25/02/2022,794.215,COR,
PK-PR-2A,BOLT & NUT EK200K P/N 02A,181,UNIDAD,REPUESTOS MUAR BAN L,12/11/2024,72.967,COR,
PK-PR-31,NUT EK200K P/N31,31,UNIDAD,REPUESTOS MUAR BAN L,25/02/2022,157.763,COR,
PK-PR-35,SQUARE BAR EK200K P/N 35,1,UNIDAD,REPUESTOS MUAR BAN L,04/11/2024,"4,299.74",COR,
PK-PR-36,BOLT & NUT EK200K P/N 36,26,UNIDAD,REPUESTOS MUAR BAN L,24/08/2022,"1,199.81",COR,
PK-PR-39,STAY PIPE EK200K P/N 39,16,UNIDAD,REPUESTOS MUAR BAN L,24/08/2022,103.86,COR,
PK-PR-46,SPC BELT 2120,23,UNIDAD,REPUESTOS MUAR BAN L,12/10/2023,"2,100.44",COR,
PK-PR-G11/G14,18T COUPLING (EK2OOK) P/N G11-G14,16,JUEGO,REPUESTOS,12/10/2023,"84,829.77",COR,
PM-QB-10,CB6T ROTOR SHAFT  KCR610,2,UNIDAD,REPUESTOS MODIPALM,18/11/2021,"9,156.47",COR,
PM-QB-11,CB6T ROTOR PROTECTOR  KCR611,12,UNIDAD,REPUESTOS MODIPALM,18/11/2021,"2,379.67",COR,
PM-QB-12,CB6T MAIN KEY  KCR612,3,UNIDAD,REPUESTOS MODIPALM,22/01/2024,"1,721.34",COR,
PM-QB-13,CB6T SPACER (C/IRON) KCR613,2,UNIDAD,REPUESTOS MODIPALM,18/11/2021,"4,356.38",COR,
PM-QB-14,CB6T TIE ROD 15 1/2 Pulgadas  KCR614,20,UNIDAD,REPUESTOS MODIPALM,29/01/2025,"2,175.12",COR,
PM-QB-15,CB6T V-BELT SPB1625 KCR615,3,UNIDAD,REPUESTOS MODIPALM,18/11/2021,532.42,COR,
PM-QB-17,BELT SPB 1625 P/N KCR617,4,UNIDAD,REPUESTOS MODIPALM,05/10/2022,506.9,COR,
PM-QB-17A,CB6T STATOR HARDEN ROD 019 X 430L-KC*,57,UNIDAD,REPUESTOS,01/02/2022,580.33,COR,
PM-QB-18,CB6T ROTOR DISC PLATE 38 HOLES KCR618,10,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"4,744.56",COR,
PM-QB-19,CB6T ROTOR DISC END PLATE (THREAD) 38 HOLES KCR619,5,UNIDAD,REPUESTOS MODIPALM,29/01/2025,"5,324.81",COR,
PM-QB-19A,CB6T ROTOR DISC END PLATE (TAPER) KCR619A,6,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"5,271.74",COR,
PM-QB-19B,CB6T WEARING PLATE KCR619B,14,UNIDAD,REPUESTOS MODIPALM,16/10/2023,"9,767.49",COR,
PM-QB-22,CB6T INLET PROTECTOR  KCR622,5,UNIDAD,REPUESTOS MODIPALM,18/11/2021,"8,107.71",COR,
PM-QB-2A,CB6T SIDE PLATE W/O HOLES KCR602A,5,UNIDAD,REPUESTOS MODIPALM,25/10/2021,"7,019.78",COR,
PM-QB-2B,CB6T SIDE PLATE C/W HOLES KCR602B,5,UNIDAD,REPUESTOS MODIPALM,25/10/2021,"8,386.80",COR,
PM-QB-4,CB6T FLANGE BEARING UCF210 KCR604,13,UNIDAD,REPUESTOS MODIPALM,05/10/2022,"1,257.11",COR,
PM-QB-6,CB6T ROTOR PULLEY  C/W KEY  KCR606,4,UNIDAD,REPUESTOS MODIPALM,18/11/2021,"2,742.90",COR,
RA001,PATA DE EMBANQUE 70170984,1,UNIDAD,REPUESTOS AGRICOLAS,24/07/2024,"13,915.00",COR,
RA002,PATENTE 70171815,1,UNIDAD,REPUESTOS AGRICOLAS,21/05/2022,695.56,USD,
RA003,ESPARRAGO DE PATENTE 70171826,4,UNIDAD,REPUESTOS AGRICOLAS,21/05/2022,14.6,USD,
RA004,TAPA DE PATENTE 70171830,3,UNIDAD,REPUESTOS AGRICOLAS,21/05/2022,25.47,USD,
RA005,PIVOTE 70172270,1,UNIDAD,REPUESTOS AGRICOLAS,21/05/2022,959.35,USD,
RA006,TUERCA DE ESPARRAGO DE PATENTE 87171827,8,UNIDAD,REPUESTOS AGRICOLAS,21/05/2022,3,USD,
RA008,CRUZ CARDANICA 3 Pulgadas 1388527,4,UNIDAD,REPUESTOS AGRICOLAS,21/05/2022,800,COR,
RA010,BRAZO TENSOR AJUSTABLE 19-1/4 Pulgadas,3,UNIDAD,REPUESTOS AGRICOLAS,14/12/2022,"2,000.00",COR,
RA012,AMORTIGUADOR DL 50S48511-80183,2,UNIDAD,REPUESTOS AGRICOLAS,14/12/2024,78.44,USD,
RA013,AMORTIGUADOR TR 50S48531-80833,2,UNIDAD,REPUESTOS AGRICOLAS,14/12/2024,54.73,USD,
RA014,BOMBA DE COMBUSTIBLE 480245,2,UNIDAD,REPUESTOS AGRICOLAS,28/05/2022,"1,225.00",COR,
RA019,RETENEDOR 78x115x10/19.5,1,UNIDAD,REPUESTOS AGRICOLAS,31/05/2022,900,COR,
RA020,RETENEDOR 38x44x18,1,UNIDAD,REPUESTOS AGRICOLAS,31/05/2022,200,COR,
RA023,BUJE AMORTIGUADOR TR 01A90385-T0019,4,UNIDAD,REPUESTOS AGRICOLAS,10/05/2023,128.18,COR,
RA041,TRABA FORRO GFA 01A90467-05114,1,UNIDAD,REPUESTOS AGRICOLAS,20/06/2022,4.88,USD,
RA042,PERNO CHOQUE DL 01A90159-60217,1,UNIDAD,REPUESTOS AGRICOLAS,20/06/2022,3.4,USD,
RA043,TRABA DE EXTENS 01A90189-06065,12,UNIDAD,REPUESTOS AGRICOLAS,05/01/2023,1.794,USD,
RA044,TRABA DE MOLDUR 01A90467-07215,28,UNIDAD,REPUESTOS AGRICOLAS,05/01/2023,1.858,USD,
RA065,TAPA PATENTE ALUMINIO 6 HUECOS,11,UNIDAD,REPUESTOS AGRICOLAS,07/07/2022,488.75,COR,
RA067,JGO REP. BOMBILL 50S04476-37081,7,UNIDAD,REPUESTOS AGRICOLAS,21/08/2024,980.175,COR,
RA068,CARBURADOR DE BOYA GX160,2,UNIDAD,REPUESTOS AGRICOLAS,14/07/2022,30.54,USD,
RA069,BUJIA DE ENCENDIDO K16R-U3119,5,UNIDAD,REPUESTOS AGRICOLAS,28/07/2022,4.767,USD,
RA070,RESORTE DE CONTROL GOBERNADOR GX160,2,UNIDAD,REPUESTOS AGRICOLAS,14/07/2022,1.92,USD,
RA071,RESORTE RETORNO VARILLA GOBERNADOR GX160,2,UNIDAD,REPUESTOS AGRICOLAS,14/07/2022,1.92,USD,
RA072,VARILLA GOBERNADOR GX160,2,UNIDAD,REPUESTOS AGRICOLAS,14/07/2022,1.92,USD,
RA073,BOCINA TONO BAJO 50S86520-37130,1,UNIDAD,REPUESTOS AGRICOLAS,28/07/2025,"2,155.76",COR,
RA076,CILINDRO FRENO 50S47201-37370,2,UNIDAD,REPUESTOS AGRICOLAS,06/01/2025,"12,566.30",COR,
RA077,JGO. ZAP. FNO. DEL. 50S04494-37110,1,UNIDAD,REPUESTOS AGRICOLAS,21/08/2024,"5,345.27",COR,
RA078,BALINERA EJE TR 01A90366-T0060,2,UNIDAD,REPUESTOS AGRICOLAS,21/07/2022,102.29,USD,
RA081,SELLO IN. EJE DL 01A90316-T0002,2,UNIDAD,REPUESTOS AGRICOLAS,21/07/2022,32.855,USD,
RA082,BALINERA EJE DL 01A90366-T0061,2,UNIDAD,REPUESTOS AGRICOLAS,21/07/2022,155.745,USD,
RA083,PERNO RUEDA TRA 01A90942-02049,4,UNIDAD,REPUESTOS AGRICOLAS,21/07/2022,3.663,USD,
RA090,METAL MAIN 32B0900020,1,UNIDAD,REPUESTOS AGRICOLAS,22/07/2022,139.51,USD,
RA103,METAL CON-RO 32A1902201,4,UNIDAD,REPUESTOS AGRICOLAS,22/07/2022,12.97,USD,
RA104,BOMBA AGUA 32A4500023,1,UNIDAD,REPUESTOS AGRICOLAS,22/07/2022,284.92,USD,
RA108,JGO. TACO FNO. DL 50S04465-37151,3,UNIDAD,REPUESTOS AGRICOLAS,14/12/2024,250.24,USD,
RA109,JGO. ZAP. FNO. TRA 50S04495-37040,2,UNIDAD,REPUESTOS AGRICOLAS,14/12/2024,181.51,USD,
RA110,SELLO EJE TR 50S90311-78001,4,UNIDAD,REPUESTOS AGRICOLAS,18/11/2024,"1,514.56",COR,
RA111,SELLO EJE TRASE 50S90310-38033,4,UNIDAD,REPUESTOS AGRICOLAS,18/11/2024,218,COR,
RA112,BOMBA DE EMBRAGUE 50S31420-37142,1,UNIDAD,REPUESTOS AGRICOLAS,03/07/2025,"4,548.40",COR,
RA114,LIMPIABRISA DER 01A85212-37091,2,UNIDAD,REPUESTOS AGRICOLAS,24/10/2023,"1,670.54",COR,
RA115,LIMPIABRISA IZQ 01A85222-37151,1,UNIDAD,REPUESTOS AGRICOLAS,03/10/2022,51.96,USD,
RA116,PERNO CUBO D/RH 01A90942-02071,8,UNIDAD,REPUESTOS AGRICOLAS,14/12/2024,11.67,USD,
RA117,TUERCA RDA D/DE 50S42633-37020,2,UNIDAD,REPUESTOS AGRICOLAS,03/07/2025,511.48,COR,
RA118,TUERCA RDA D/IZQ 50S42634-37020,2,UNIDAD,REPUESTOS AGRICOLAS,03/07/2025,511.48,COR,
RA119,TUERCA RUEDA RH 50S43522-37010,2,UNIDAD,REPUESTOS AGRICOLAS,03/07/2025,567.415,COR,
RA126,MOLDURA DE CORA 01A75770-0K311,1,UNIDAD,REPUESTOS AGRICOLAS,02/08/2022,"2,230.63",COR,
RA130,INNER TUBE WDMT 30 1/2 Pulgadas-40H74,1,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,611.49,USD,
RA131,PIN MF/CYL 3X5 3/4 Pulgadas-42H01,2,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,182.24,USD,
RA132,PIN CAP 13/16 PulgadasX4 Pulgadas 3/4 Pulgadas-40H71,2,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,69.08,USD,
RA134,PIN PJ /MF 3 PulgadasX8 Pulgadas-40H84,2,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,336.32,USD,
RA135,SPACER 5/8 Pulgadas IDX1-1/4 PulgadasX2OD-85H17,4,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,32.55,USD,
RA136,SPRING EXTENSION 7/8 PulgadasODX6 Pulgadas-90P04,2,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,13.8,USD,
RA137,FHSS 3/8 Pulgadas 16 UNCX1-1/4 SS-00P68,8,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,1,USD,
RA138,FHCS 3/8 Pulgadas 16 UNCX3/4 Pulgadas BRASS-00P79,16,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,3.47,USD,
RA139,FHCS 3/8 Pulgadas 16 UNCX1-1/2 Pulgadas-00P58,8,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,4.34,USD,
RA140,PIN JIB/CYL 1-3/4 PulgadasX9-7/8 Pulgadas-41H98,1,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,117.54,USD,
RA141,SNAP RING EXT 1-3/4 Pulgadas SHAFT-00P97,2,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,2.07,USD,
RA142,PIN CAP 3/8 PulgadasX4 Pulgadas-82H49,4,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,12.67,USD,
RA143,BUJE BRONCE P/BISAGRAS-50P20,4,UNIDAD,REPUESTOS AGRICOLAS,30/07/2022,276.87,USD,
RA145,CILINDRO FRENO INT L/H 50S47580-37072,1,UNIDAD,REPUESTOS AGRICOLAS,18/12/2024,85.62,USD,
RA147,CILINDRO FRENO S. L/H 50S47570-37072,1,UNIDAD,REPUESTOS AGRICOLAS,03/07/2025,"3,732.33",COR,
RA149,CABLE PARQUEO 50S46420-37B00,1,UNIDAD,REPUESTOS AGRICOLAS,14/12/2024,86.29,USD,
RA150,CABLE FRENO 50S46430-37670,1,UNIDAD,REPUESTOS AGRICOLAS,14/12/2024,37.9,USD,
RA156,MANGUITO 9904100993,4,UNIDAD,REPUESTOS AGRICOLAS,19/10/2022,22.288,USD,
RA163,EMPAQUE 9904106007,1,UNIDAD,REPUESTOS AGRICOLAS,05/01/2023,33.08,USD,
RA172,CODO 9904106058,2,UNIDAD,REPUESTOS AGRICOLAS,03/02/2023,24.97,USD,
RA197,SELLO 7755910000,1,UNIDAD,REPUESTOS AGRICOLAS,19/10/2022,0.37,USD,
RA198,KLASS BICAPA COLOR MATIZ 1/8,2,GALON,REPUESTOS AGRICOLAS,10/08/2022,629,COR,
RA199,KLASS NORMAL REDUCER,1.25,GALON,REPUESTOS AGRICOLAS,14/06/2023,"1,280.82",COR,
RA200,KLASS ULTRA GLOSS CLEAR,1,GALON,REPUESTOS AGRICOLAS,10/08/2022,756.85,COR,
RA202,FILTRO DE AIRE WIX 42126 (P181054),3,UNIDAD,REPUESTOS AGRICOLAS,26/05/2025,"1,216.95",COR,
RA204,FILTRO DE COMBUSTIBLE WIX 33651,1,UNIDAD,REPUESTOS AGRICOLAS,29/08/2022,529.53,COR,
RA205,KLASS FAST UNIVERSAL HARDENER,0.5,GALON,REPUESTOS AGRICOLAS,27/08/2022,"1,079.12",COR,
RA207,BARRA DE DIRECCION 50S45460-37062,1,UNIDAD,REPUESTOS AGRICOLAS,04/06/2025,"9,419.26",COR,
RA211,ROTULA INFERIOR 01A43330-09510,2,UNIDAD,REPUESTOS AGRICOLAS,11/10/2022,108.045,USD,
RA212,ROTULA SUPERIOR 01A43310-09030,2,UNIDAD,REPUESTOS AGRICOLAS,11/10/2022,71.65,USD,
RA217,CILINDRO FRENO D.T/LH 50S47540-36180,1,UNIDAD,REPUESTOS AGRICOLAS,03/07/2025,"2,741.72",COR,
RA224,BRAZO D.DIRECCION 50S45440-37102,1,UNIDAD,REPUESTOS AGRICOLAS,08/08/2025,"6,344.65",COR,
RA225,BUJE DE RESORTE 50S90389-16026,2,UNIDAD,REPUESTOS AGRICOLAS,03/07/2025,689.725,COR,
RA226,EMPAQUE DE PUERTA RH 50S67861-37050,1,UNIDAD,REPUESTOS AGRICOLAS,03/10/2022,78.48,USD,
RA232,RETENEDOR TRASERO FP-23531251,1,UNIDAD,REPUESTOS AGRICOLAS,19/10/2022,"2,472.50",COR,
RA235,BUJE BARRA E/DL 01A48815-0K090,2,UNIDAD,REPUESTOS,11/10/2022,21.995,USD,
RA240,JGO. REP. FNO. DEL. 01A04478-0K250,1,UNIDAD,REPUESTOS AGRICOLAS,11/10/2022,100.3,USD,
RA241,TORNILLO 9904108871,1,UNIDAD,REPUESTOS AGRICOLAS,19/10/2022,5.28,USD,
RA242,COVER SELENOIDE 9904109627,2,UNIDAD,REPUESTOS AGRICOLAS,03/02/2023,114.28,USD,
RA262,BALINERA SPROKER TRASERO 6204-2RS,1,UNIDAD,REPUESTOS AGRICOLAS,13/12/2022,100,COR,
RA268,BALINERA PATENTE 6301-2RS/GB,2,UNIDAD,REPUESTOS AGRICOLAS,11/11/2022,100,COR,
RA269,CADENA SKF PHC 60-1X 10FT,1,UNIDAD,REPUESTOS AGRICOLAS,04/11/2022,72.61,USD,
RA270,FILTRO DE COMBUSTIBLE 23304-EV212,5,UNIDAD,REPUESTOS AGRICOLAS,08/08/2025,560.33,COR,
RA271,FILTRO DE COMBUSTIBLE 23390-0L070,3,UNIDAD,REPUESTOS AGRICOLAS,06/08/2025,308.383,COR,
RA272,ELEMENTO DE A/A 01A87139-0K070,1,UNIDAD,REPUESTOS AGRICOLAS,08/08/2025,"2,891.31",COR,
RA273,BOMBILLO LAM. DL 01A90981-17019,2,UNIDAD,REPUESTOS AGRICOLAS,03/11/2022,66.175,USD,
RA276,FILTRO DE COMBUSTIBLE P558000,2,UNIDAD,ACCESORIO DE COMPUTO,26/02/2025,427.68,COR,
RA277,COJINETE 154-5404,1,UNIDAD,REPUESTOS AGRICOLAS,06/08/2025,"4,819.85",COR,
RA278,TIE ROD AS 490-7448,1,UNIDAD,REPUESTOS AGRICOLAS,06/08/2025,"8,966.35",COR,
RA279,TIE ROD AS 490-7447,1,UNIDAD,REPUESTOS AGRICOLAS,06/08/2025,"9,079.61",COR,
RA280,SELLO 485-8327,1,UNIDAD,REPUESTOS AGRICOLAS,06/08/2025,374.39,COR,
RA281,ARANDELA 1K-7082,1,UNIDAD,REPUESTOS AGRICOLAS,06/08/2025,34.07,COR,
RA282,ARANDELA 9R-9702,1,UNIDAD,ACCESORIO DE COMPUTO,06/08/2025,87.2,COR,
RA283,ARANDELA SEGURIDAD 165-8996,1,UNIDAD,REPUESTOS AGRICOLAS,06/08/2025,255.07,COR,
RA288,REJILLA RAD.INF 01A53112-YP050,1,UNIDAD,REPUESTOS AGRICOLAS,19/11/2022,97.11,USD,
RA289,RETE. DE MOLDURA 01A75392-35220,4,UNIDAD,REPUESTOS AGRICOLAS,18/11/2022,2.9,USD,
RA290,RECIPIENTE SUZUKI 44300-12FJ0-000,1,UNIDAD,REPUESTOS AGRICOLAS,21/11/2022,444.4,COR,
RA291,BARRA DELANTERA LH 51103-05440-000,1,UNIDAD,REPUESTOS AGRICOLAS,21/11/2022,"3,078.02",COR,
